City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Castro,10,BR,1603409030,86,-24.79,-50.01,61.56,10.54
Rio Pardo de Minas,99,BR,1603409049,83,-15.61,-42.54,68.88,6.8
Qaanaaq,100,GL,1603408772,94,77.48,-69.36,20.35,8.52
Yar-Sale,91,RU,1603409050,96,66.83,70.83,15.78,8.5
Hong Kong,100,HK,1603408873,57,22.29,114.16,73.0,1.01
Hobart,75,AU,1603408950,71,-42.88,147.33,61.0,8.05
Tupik,8,RU,1603409050,93,54.43,119.93,16.21,1.34
Hamilton,20,US,1603408783,83,39.18,-84.53,73.99,4.61
Rikitea,92,PF,1603409018,80,-23.12,-134.97,74.61,15.39
Hilo,40,US,1603409020,52,19.73,-155.09,89.6,13.87
Atakpamé,28,TG,1603409050,93,7.53,1.13,73.09,3.67
Valréas,0,FR,1603409050,60,44.38,4.99,68.0,13.87
Bluff,100,NZ,1603408764,58,-46.6,168.33,63.0,8.01
Esperance,90,AU,1603409034,100,-33.87,121.9,55.4,11.41
Arraial do Cabo,0,BR,1603408793,75,-22.97,-42.03,71.6,14.85
East London,13,ZA,1603409040,90,-33.02,27.91,68.61,14.72
Bonavista,69,CA,1603409051,68,48.65,-53.11,50.0,18.01
Comodoro Rivadavia,0,AR,1603409035,48,-45.87,-67.5,62.6,3.36
Barrow,90,US,1603409024,98,71.29,-156.79,33.8,8.05
New Norfolk,57,AU,1603409021,72,-42.78,147.06,61.0,1.99
Yellowknife,75,CA,1603409006,73,62.46,-114.35,24.8,8.05
Atuona,15,PF,1603409029,70,-9.8,-139.03,78.17,13.8
Crateús,31,BR,1603408940,45,-5.18,-40.68,84.33,5.41
Saint-Philippe,75,RE,1603408788,78,-21.36,55.77,73.4,10.29
Prabumulih,100,ID,1603409053,92,-3.45,104.25,73.83,1.57
Sorong,3,ID,1603409053,82,-0.88,131.25,80.17,4.32
Linxi,0,CN,1603409053,58,39.7,118.43,38.52,3.44
Vaini,20,TO,1603409028,69,-21.2,-175.2,80.6,10.29
Talnakh,40,RU,1603408819,92,69.49,88.4,6.8,11.18
Bahía Solano,90,CO,1603409053,82,6.23,-77.4,79.12,5.7
Presidencia Roque Sáenz Peña,97,AR,1603409053,56,-26.79,-60.44,82.17,7.09
Hermanus,51,ZA,1603409025,85,-34.42,19.23,64.0,5.99
Ucluelet,75,CA,1603409040,76,48.93,-125.55,51.01,5.82
Jamestown,20,US,1603408732,82,42.1,-79.24,66.99,3.36
Ushuaia,40,AR,1603408755,65,-54.8,-68.3,46.4,24.16
Orlik,21,RU,1603409054,76,52.52,99.83,24.26,2.75
Kloulklubed,90,PW,1603409045,94,7.04,134.26,75.2,11.41
Cap Malheureux,3,MU,1603409054,86,-19.98,57.61,69.01,3.0
Nikolskoye,90,RU,1603409028,93,59.7,30.79,51.8,8.95
Bambous Virieux,75,MU,1603409043,88,-20.34,57.76,71.6,11.41
Adrar,0,MR,1603409054,16,20.5,-10.07,86.22,6.49
Mataura,86,NZ,1603409019,60,-46.19,168.86,63.0,7.0
Lebu,99,CL,1603409046,81,-37.62,-73.65,50.31,11.39
Buala,57,SB,1603408806,65,-8.14,159.59,85.19,5.44
Vao,99,NC,1603409055,88,-22.67,167.48,73.96,14.58
Lata,13,PT,1603409055,90,40.16,-8.33,57.0,3.6
Santiago de Cao,32,PE,1603409055,86,-7.96,-79.24,63.3,11.01
Ostrovnoy,100,RU,1603409037,95,68.05,39.51,31.46,14.74
Itupiranga,39,BR,1603409055,63,-5.13,-49.33,82.53,3.65
Eilat,0,IL,1603409055,69,29.56,34.95,78.8,1.12
Gunnedah,0,AU,1603409055,64,-30.98,150.25,71.6,5.82
George Town,20,MY,1603408861,83,5.41,100.34,78.01,2.24
Broome,20,US,1603409056,82,42.25,-75.83,64.4,6.93
Albany,49,US,1603408765,78,42.6,-73.97,64.0,2.37
Juba,64,SS,1603409056,87,4.85,31.58,73.6,3.56
Margate,1,GB,1603409056,66,51.38,1.39,51.01,11.36
Macheng,0,CN,1603409056,58,31.18,115.03,53.4,2.59
Havøysund,40,NO,1603408927,87,71.0,24.66,32.0,20.8
Belaya Gora,100,RU,1603409056,91,68.53,146.42,10.58,2.71
Busselton,0,AU,1603408766,82,-33.65,115.33,55.0,10.4
Taoudenni,5,ML,1603409056,14,22.68,-3.98,85.93,9.17
Norman Wells,20,CA,1603409056,92,65.28,-126.83,23.0,2.24
Bredasdorp,78,ZA,1603409020,93,-34.53,20.04,64.4,4.7
Salé,40,MA,1603409057,93,34.04,-6.82,63.0,4.7
Punta Arenas,0,CL,1603408765,43,-53.15,-70.92,51.8,17.22
Nador,0,MA,1603409057,77,35.17,-2.93,68.0,5.82
Yumen,8,CN,1603409057,85,40.28,97.2,31.21,3.0
Katsuura,75,JP,1603409057,88,35.13,140.3,66.2,3.36
Hervey Bay,40,AU,1603408793,61,-25.3,152.85,80.01,12.75
